COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_transit_stations,adjusted_stable_start_date,lost_transit_stations,decline_start,slope
South Africa,,16/03/2020,08/05/2020,10/03/2020,24/03/2020,27/03/2020,,,15/03/2020,01/05/2020,18/03/2020,15/03/2020,16/04/2020,,20/03/2020,01/05/2020,01/06/2020,27/03/2020,27/03/2020,,,30/03/2020,,,27/03/2020,08/04/2020,,11/05/2020,,,,,,,27/03/2020,21.357142857,27/03/2020,78.642857143,25MAR2020,-31
Spain,08/04/2020,23/03/2020,16/03/2020,,15/05/2020,,09/05/2020,,16/03/2020,09/04/2020,09/03/2020,13/03/2020,12/03/2020,01/04/2020,16/03/2020,,,12/03/2020,14/03/2020,16/03/2020,09/06/2020,,05/04/2020,30/03/2020,28/03/2020,15/03/2020,,31/03/2020,,15/03/2020,,,,,14/03/2020,22.571428571,19/03/2020,77.428571429,08MAR2020,-7.989177489
Sri Lanka,12/03/2020,22/05/2020,,17/03/2020,16/03/2020,14/03/2020,21/05/2020,,19/03/2020,11/05/2020,13/03/2020,,18/03/2020,04/04/2020,16/03/2020,19/03/2020,03/04/2020,20/03/2020,10/04/2020,,11/04/2020,,05/04/2020,,,11/04/2020,16/03/2020,09/04/2020,16/03/2020,,,,,,27/03/2020,27.642857143,21/03/2020,72.357142857,17MAR2020,-14.25
Sweden,20/04/2020,14/05/2020,,01/02/2020,,,01/04/2020,,12/03/2020,25/03/2020,,,12/03/2020,,,,,11/03/2020,,,,,17/04/2020,,,14/03/2020,,11/05/2020,,30/04/2020,,,,,17/03/2020,65.214285714,18/03/2020,34.785714286,11MAR2020,-4.37244898
Switzerland,01/03/2020,11/03/2020,,27/03/2020,,,,,28/02/2020,14/05/2020,08/04/2020,16/03/2020,19/03/2020,27/03/2020,16/03/2020,,,13/03/2020,06/03/2020,,,,29/04/2020,,23/03/2020,08/04/2020,19/03/2020,20/04/2020,15/05/2020,13/02/2020,,,,,17/03/2020,42.857142857,21/03/2020,57.142857143,15MAR2020,-7.666666667
Tajikistan,27/03/2020,,31/03/2020,23/01/2020,,,,,17/04/2020,,25/04/2020,,03/04/2020,,,,,,,,30/04/2020,,29/04/2020,,,,,,,,,,,,24/04/2020,59.142857143,01/05/2020,40.857142857,14MAR2020,-1.055059524
Tanzania,,,,03/04/2020,25/02/2020,11/04/2020,23/03/2020,,20/03/2020,,17/03/2020,,,,,,,08/05/2020,,,,,,,,20/03/2020,,,23/03/2020,,,,,,10/04/2020,78.071428571,12/04/2020,21.928571429,02APR2020,-2.226984127
Thailand,26/01/2020,21/03/2020,,22/01/2020,09/02/2020,18/03/2020,06/03/2020,,,,18/03/2020,26/03/2020,18/01/2020,03/01/2020,22/03/2020,01/04/2020,01/04/2020,06/05/2020,,03/04/2020,,,17/02/2020,,,21/01/2020,25/03/2020,07/02/2020,31/03/2020,25/03/2020,,18/01/2020,,,21/03/2020,50.214285714,26/03/2020,49.785714286,05MAR2020,-2.031539889
Togo,,20/03/2020,,30/03/2020,,20/03/2020,16/03/2020,,16/03/2020,,20/03/2020,01/04/2020,21/03/2020,,16/03/2020,02/04/2020,01/04/2020,16/03/2020,01/04/2020,08/04/2020,,,01/04/2020,20/03/2020,,16/03/2020,,,,,,,,,22/03/2020,64.285714286,30/03/2020,35.714285714,13MAR2020,-2.070588235
Trinidad and Tobago,25/03/2020,22/03/2020,,,,,,,08/04/2020,20/03/2020,13/03/2020,,09/04/2020,,18/03/2020,,,,,29/03/2020,08/04/2020,,,,,15/03/2020,,,,,,,,,21/03/2020,38.071428571,29/03/2020,61.928571429,26FEB2020,-2.643229167
Turkey,,,,,24/01/2020,17/03/2020,,,16/03/2020,,16/03/2020,,,,,,29/03/2020,,,15/05/2020,,,,11/04/2020,23/05/2020,,01/04/2020,,,16/02/2020,,,,,23/03/2020,38.714285714,25/03/2020,61.285714286,08MAR2020,-4.626432391
Uganda,,22/03/2020,,01/04/2020,07/03/2020,23/03/2020,04/05/2020,,20/03/2020,04/05/2020,20/03/2020,,18/05/2020,,01/04/2020,31/03/2020,25/03/2020,03/04/2020,,30/03/2020,,,,18/04/2020,,,,,,,,,,,26/03/2020,35,31/03/2020,65,20MAR2020,-6.155844156
Ukraine,10/04/2020,13/03/2020,,,11/03/2020,14/03/2020,11/03/2020,,11/03/2020,,09/03/2020,,05/04/2020,03/04/2020,,,,03/04/2020,,15/03/2020,06/04/2020,,27/04/2020,08/04/2020,,05/03/2020,14/03/2020,,,,,,,,19/03/2020,55.357142857,22/03/2020,44.642857143,10MAR2020,-4.922619048
United Arab Emirates,,,,24/03/2020,08/03/2020,,18/03/2020,,16/03/2020,,08/03/2020,,,,23/03/2020,20/05/2020,04/04/2020,,,26/03/2020,29/03/2020,,,,,,17/03/2020,,,,,,,,20/03/2020,37.928571429,26/03/2020,62.071428571,11MAR2020,-3.72987013
United Kingdom,,,,10/05/2020,,,22/05/2020,,16/03/2020,11/05/2020,,,11/03/2020,24/03/2020,21/03/2020,,,23/03/2020,,24/03/2020,15/06/2020,,18/05/2020,,,16/03/2020,,07/06/2020,,,,,,,20/03/2020,35.857142857,24/03/2020,64.142857143,06MAR2020,-3.621933622
United States of America,16/03/2020,,,15/03/2020,,,,,,30/03/2020,,31/01/2020,06/02/2020,,,,,15/03/2020,22/03/2020,,,,16/05/2020,,,16/03/2020,22/04/2020,,,,,,,,18/03/2020,55.785714286,24/03/2020,44.214285714,07MAR2020,-3.087089381
Uruguay,14/03/2020,16/03/2020,,18/04/2020,13/03/2020,15/03/2020,13/03/2020,,,20/04/2020,15/03/2020,13/03/2020,,,,,27/03/2020,24/03/2020,,24/03/2020,21/04/2020,,,,,,,,,26/05/2020,,,,,17/03/2020,44.5,22/03/2020,55.5,09MAR2020,-5.023668639
Venezuela,17/03/2020,,,31/03/2020,10/05/2020,18/03/2020,,,15/03/2020,15/04/2020,15/03/2020,17/03/2020,17/03/2020,26/04/2020,15/03/2020,07/04/2020,17/03/2020,17/03/2020,,16/03/2020,13/04/2020,18/04/2020,20/04/2020,,,,,,,13/05/2020,,16/03/2020,,,16/03/2020,39.071428571,19/03/2020,60.928571429,11MAR2020,-8.875
Vietnam,16/04/2020,,,28/01/2020,23/01/2020,30/01/2020,23/01/2020,25/03/2020,08/02/2020,09/03/2020,,,10/02/2020,29/01/2020,,,16/04/2020,28/01/2020,,31/03/2020,04/04/2020,,,,,13/03/2020,21/03/2020,,25/01/2020,,,,,,26/03/2020,46,01/04/2020,54,07MAR2020,-1.984571429
Yemen,,14/03/2020,,,,18/03/2020,,,17/03/2020,,14/03/2020,,,14/03/2020,23/03/2020,,22/03/2020,,,,,,,,,,,,,,,,,,25/05/2020,76.3,24/04/2020,23.7,20APR2020,-4.5
Zambia,,,,26/03/2020,24/02/2020,17/03/2020,17/03/2020,,17/03/2020,,20/03/2020,,,,18/03/2020,,26/03/2020,,,,,,,,,17/03/2020,,,,,,,,,31/03/2020,77.857142857,04/04/2020,22.142857143,,
Zimbabwe,15/03/2020,24/03/2020,,14/04/2020,12/03/2020,,24/03/2020,,24/03/2020,,24/03/2020,17/03/2020,,,24/03/2020,,,22/04/2020,,30/03/2020,04/05/2020,,15/04/2020,,,,,,,,,,,,30/03/2020,20.357142857,31/03/2020,79.642857143,29MAR2020,-36.49675325
