COUNTRY,AWARE,BOR_CLOSE,PRISON,ADMIN,HEALTH,INTERNAT,POLICIES,IMP_EXP,PUB_GATHER,PUBHEALTH,SCHOOL,EMERGENCY,HEALTHSYS,MONITOR,BUS_CLOSE,CURFEWS,DOMESTIC,ECO_MEAS,MIL_DEP,PLOCK,PROTGEAR,MASSTEST,TEST,FUNERAL,FLOCK,GENERAL,VISA,PSYCH,DOCS,BOR_CHECK,RLOCK,CHECK,HUMAN,CBOR_CLOSE,stable_start_date,stable_transit_stations,adjusted_stable_start_date,lost_transit_stations,decline_start,slope
Gabon,07/03/2020,14/03/2020,,,07/03/2020,17/03/2020,07/03/2020,,13/03/2020,,13/03/2020,10/04/2020,18/05/2020,,07/03/2020,22/03/2020,28/04/2020,07/03/2020,10/04/2020,12/04/2020,15/04/2020,17/04/2020,03/04/2020,,,13/03/2020,13/03/2020,,,,,,,,21/03/2020,57.142857143,22/03/2020,42.857142857,12MAR2020,-4.88452381
Georgia,,21/03/2020,,31/03/2020,,21/03/2020,21/03/2020,,31/03/2020,,23/05/2020,21/03/2020,31/03/2020,,23/05/2020,31/03/2020,31/03/2020,15/03/2020,,31/03/2020,23/05/2020,,,,,,18/03/2020,,,,,,,,21/03/2020,48.142857143,29/03/2020,51.857142857,08MAR2020,-2.895124717
Germany,06/02/2020,15/04/2020,19/03/2020,23/04/2020,,,09/04/2020,04/03/2020,10/03/2020,15/04/2020,16/03/2020,16/03/2020,11/03/2020,07/04/2020,16/03/2020,,,10/03/2020,03/04/2020,21/03/2020,22/04/2020,,27/05/2020,02/05/2020,,30/03/2020,09/04/2020,,,10/03/2020,,,,,17/03/2020,46.642857143,21/03/2020,53.357142857,01MAR2020,-3.15
Ghana,,23/03/2020,,07/04/2020,,11/03/2020,15/03/2020,,13/04/2020,05/05/2020,16/03/2020,,21/03/2020,,,,,28/03/2020,,30/03/2020,,,28/03/2020,,,06/03/2020,,,15/03/2020,,,,,,30/03/2020,42.5,01/04/2020,57.5,28MAR2020,-11.75
Greece,09/03/2020,21/03/2020,,,,,16/03/2020,,13/03/2020,,11/03/2020,,13/03/2020,,18/03/2020,23/03/2020,12/04/2020,13/03/2020,,23/03/2020,04/05/2020,,09/06/2020,,,,,,,,,,,,15/03/2020,34.642857143,23/03/2020,65.357142857,03MAR2020,-3.954166667
Guatemala,,16/03/2020,,05/03/2020,,16/03/2020,27/04/2020,,14/03/2020,27/04/2020,,25/03/2020,,22/03/2020,,22/03/2020,05/04/2020,,,22/05/2020,13/04/2020,,,,,,,,,,,,,,17/03/2020,29.142857143,21/03/2020,70.857142857,12MAR2020,-7.888888889
Guinea-Bissau,03/04/2020,18/03/2020,,,11/03/2020,18/03/2020,14/05/2020,,17/03/2020,,,27/03/2020,26/04/2020,,17/03/2020,28/03/2020,25/03/2020,,,11/05/2020,17/05/2020,,,,,11/05/2020,,,,,,,,,,,,,,
Haiti,18/04/2020,20/03/2020,25/03/2020,16/03/2020,06/03/2020,,19/03/2020,,20/03/2020,,20/03/2020,19/03/2020,20/04/2020,,25/03/2020,20/03/2020,06/04/2020,27/03/2020,,20/03/2020,11/05/2020,,,,,,,,,,,,,,21/03/2020,53.928571429,29/03/2020,46.071428571,08MAR2020,-1.952380952
Honduras,,16/03/2020,,,11/03/2020,,29/03/2020,,16/03/2020,21/05/2020,,,20/04/2020,,16/03/2020,21/03/2020,18/05/2020,23/03/2020,,04/05/2020,29/03/2020,,,,,29/03/2020,,,,,,,,,17/03/2020,27.214285714,20/03/2020,72.785714286,13MAR2020,-10.57142857
Hungary,03/02/2020,17/03/2020,,04/02/2020,05/02/2020,,20/03/2020,,11/03/2020,06/04/2020,14/03/2020,11/03/2020,05/03/2020,17/03/2020,17/03/2020,,,23/03/2020,,28/03/2020,22/04/2020,03/03/2020,27/04/2020,,,21/03/2020,12/03/2020,,,,,,,,17/03/2020,49.571428571,22/03/2020,50.428571429,08MAR2020,-5.279761905
India,04/04/2020,15/03/2020,,14/03/2020,25/01/2020,22/03/2020,26/02/2020,,05/03/2020,16/04/2020,,,25/01/2020,21/04/2020,04/05/2020,,03/05/2020,24/03/2020,17/04/2020,16/03/2020,,,,,24/03/2020,10/03/2020,13/03/2020,,,11/03/2020,,,,,22/03/2020,29.357142857,25/03/2020,70.642857143,11MAR2020,-5.17903525
Indonesia,04/05/2020,31/03/2020,,,,30/04/2020,02/02/2020,,27/04/2020,,,,30/03/2020,20/03/2020,,,23/04/2020,06/05/2020,,31/03/2020,,,16/03/2020,,,26/01/2020,20/03/2020,,20/03/2020,,,,,,21/03/2020,52.785714286,25/03/2020,47.214285714,13MAR2020,-4.564935065
Iraq,,16/03/2020,,,,17/03/2020,,,16/03/2020,,16/03/2020,,02/04/2020,,,17/03/2020,15/03/2020,02/04/2020,,11/03/2020,28/04/2020,,,,,,,,,16/03/2020,,16/03/2020,,,18/03/2020,39.5,21/03/2020,60.5,26FEB2020,-3.083333333
Ireland,,24/03/2020,,28/03/2020,,,08/06/2020,,12/03/2020,,13/03/2020,,24/03/2020,08/04/2020,16/03/2020,,28/03/2020,24/03/2020,,28/03/2020,,,17/04/2020,18/05/2020,,12/03/2020,28/03/2020,,,,,,28/03/2020,,16/03/2020,39.142857143,17/03/2020,60.857142857,06MAR2020,-5.636363636
Israel,11/02/2020,,13/04/2020,27/01/2020,,,17/02/2020,,15/03/2020,10/05/2020,15/03/2020,05/05/2020,04/02/2020,22/04/2020,07/04/2020,,07/04/2020,25/03/2020,,17/03/2020,19/04/2020,,03/06/2020,,25/03/2020,24/01/2020,,,,05/03/2020,,,,,17/03/2020,43.642857143,20/03/2020,56.357142857,14MAR2020,-6.833333333
Italy,27/01/2020,09/03/2020,,22/01/2020,23/01/2020,13/03/2020,04/05/2020,13/03/2020,09/03/2020,07/04/2020,14/04/2020,,14/03/2020,10/04/2020,25/02/2020,,23/03/2020,17/03/2020,20/03/2020,08/03/2020,26/04/2020,06/03/2020,03/04/2020,,23/03/2020,28/03/2020,,27/03/2020,10/03/2020,28/03/2020,,23/03/2020,,,10/03/2020,26.214285714,14/03/2020,73.785714286,04MAR2020,-5.7
Jamaica,,21/03/2020,,,,,16/03/2020,,,,24/03/2020,,02/05/2020,,17/03/2020,01/04/2020,,,,,,,,,,,,09/04/2020,,,,,,,24/03/2020,56.5,28/03/2020,43.5,04MAR2020,-2.026515152
Japan,,25/05/2020,,20/04/2020,13/03/2020,,03/04/2020,,20/02/2020,,20/03/2020,16/04/2020,28/01/2020,08/05/2020,,,,,,08/05/2020,08/05/2020,,13/05/2020,,,14/02/2020,08/05/2020,,,,,,,,08/04/2020,54.571428571,12/04/2020,45.428571429,23FEB2020,-1.100340136
Jordan,,17/03/2020,,,,17/03/2020,,,14/03/2020,,15/03/2020,18/03/2020,29/03/2020,,17/03/2020,21/03/2020,26/03/2020,,18/03/2020,18/03/2020,,,,,09/04/2020,,,,,,,,,,17/03/2020,13.714285714,19/03/2020,86.285714286,15MAR2020,-18.25
Kazakhstan,18/03/2020,,,06/05/2020,,,,,,04/05/2020,,16/03/2020,19/03/2020,,,,,,03/04/2020,11/05/2020,27/04/2020,,28/05/2020,,,,,,,,,,,,28/03/2020,56.928571429,01/04/2020,43.071428571,14MAR2020,-3.658730159
Kenya,15/03/2020,17/05/2020,09/05/2020,31/03/2020,,25/03/2020,23/03/2020,,03/03/2020,06/04/2020,15/03/2020,,02/04/2020,15/04/2020,22/03/2020,27/03/2020,06/04/2020,25/03/2020,,09/04/2020,,,07/04/2020,05/04/2020,,06/03/2020,,,,,29/04/2020,,,,25/03/2020,65.714285714,27/03/2020,34.285714286,13MAR2020,-3
Kuwait,04/04/2020,11/03/2020,,,17/05/2020,13/03/2020,24/03/2020,,18/03/2020,20/04/2020,26/02/2020,,08/03/2020,03/04/2020,13/03/2020,24/04/2020,,01/04/2020,13/05/2020,10/05/2020,18/05/2020,,,,06/04/2020,,13/03/2020,16/04/2020,,,,,,,18/03/2020,49.285714286,20/03/2020,50.714285714,,
Kyrgyzstan,04/02/2020,17/03/2020,,,25/01/2020,,,,19/03/2020,30/03/2020,,20/03/2020,02/05/2020,22/01/2020,20/03/2020,,,,,24/03/2020,,,05/05/2020,,,,,,,05/05/2020,,,,,23/03/2020,35.785714286,27/03/2020,64.214285714,14MAR2020,-5.923076923
Latvia,24/03/2020,17/03/2020,14/03/2020,,,17/03/2020,,,14/03/2020,23/04/2020,30/04/2020,14/03/2020,31/01/2020,29/03/2020,12/05/2020,,,19/03/2020,,,,,08/04/2020,,,13/03/2020,14/03/2020,15/04/2020,,,,,,,16/03/2020,64.357142857,18/03/2020,35.642857143,15MAR2020,-12
Lebanon,,12/03/2020,,,10/03/2020,18/03/2020,16/02/2020,,16/03/2020,,09/03/2020,16/03/2020,,21/02/2020,11/03/2020,26/03/2020,06/04/2020,24/03/2020,,13/05/2020,,18/04/2020,,,,,,,,,15/03/2020,,,16/03/2020,16/03/2020,24.714285714,19/03/2020,75.285714286,11MAR2020,-7.375
Libya,28/04/2020,16/03/2020,30/03/2020,,,16/03/2020,,,16/03/2020,,13/03/2020,15/03/2020,16/03/2020,13/04/2020,16/03/2020,18/03/2020,21/03/2020,,,,17/04/2020,,,21/03/2020,29/03/2020,30/03/2020,,,,22/04/2020,,,,,19/03/2020,50.5,25/03/2020,49.5,27FEB2020,-2.613275613
Liechtenstein,26/02/2020,14/05/2020,,,,,,,28/02/2020,23/04/2020,16/03/2020,,23/03/2020,,12/03/2020,,,19/03/2020,01/04/2020,,,,,,,17/04/2020,,,,,,,,,19/03/2020,55.642857143,19/03/2020,44.357142857,06MAR2020,-4.091346154
Lithuania,17/04/2020,16/03/2020,16/03/2020,08/04/2020,02/04/2020,04/04/2020,16/03/2020,02/04/2020,16/03/2020,,16/03/2020,,12/03/2020,07/04/2020,16/03/2020,,16/03/2020,16/03/2020,,27/05/2020,08/04/2020,,27/03/2020,,,16/03/2020,,25/03/2020,,27/01/2020,,30/04/2020,,,16/03/2020,47.928571429,21/03/2020,52.071428571,15MAR2020,-5.833333333
Luxembourg,29/02/2020,,,11/03/2020,,,13/03/2020,,13/03/2020,15/04/2020,16/03/2020,18/03/2020,13/03/2020,,16/03/2020,,,17/03/2020,17/04/2020,16/03/2020,,,,25/03/2020,,01/04/2020,,01/04/2020,,,,,,,17/03/2020,31.357142857,21/03/2020,68.642857143,15MAR2020,-10.66666667
Malaysia,22/03/2020,28/05/2020,,,11/03/2020,,13/05/2020,,11/03/2020,22/04/2020,,,25/03/2020,17/03/2020,21/05/2020,25/03/2020,18/03/2020,20/02/2020,,18/03/2020,,14/05/2020,22/04/2020,,,,08/03/2020,,22/05/2020,,,,,,19/03/2020,23.214285714,23/03/2020,76.785714286,17MAR2020,-13.48484848
Mali,,25/03/2020,,04/01/2020,11/03/2020,,,,11/03/2020,,19/03/2020,,10/04/2020,,30/03/2020,26/03/2020,,19/03/2020,,,09/05/2020,,,,,11/03/2020,,,,,,,,,26/03/2020,70.142857143,26/03/2020,29.857142857,10MAR2020,-2.193181818
Malta,,,,22/05/2020,23/02/2020,20/03/2020,13/03/2020,,30/03/2020,03/05/2020,13/03/2020,,19/03/2020,,17/03/2020,,31/03/2020,19/03/2020,,,04/05/2020,,02/03/2020,,,06/04/2020,,27/03/2020,,,,,,,15/03/2020,50.142857143,19/03/2020,49.857142857,06MAR2020,-4.206959707
Mauritius,16/03/2020,,,,28/02/2020,,17/05/2020,,02/05/2020,,19/03/2020,,16/03/2020,,,23/03/2020,,,,20/03/2020,,,,,,24/03/2020,,,,,,,,,20/03/2020,13.5,24/03/2020,86.5,18MAR2020,-13.43939394
Mexico,23/03/2020,21/03/2020,,21/04/2020,,24/03/2020,20/04/2020,,14/03/2020,,20/03/2020,30/03/2020,24/03/2020,,19/03/2020,20/04/2020,20/04/2020,06/05/2020,13/04/2020,30/04/2020,16/04/2020,,,,,23/03/2020,,,,,,04/05/2020,,,22/03/2020,54.642857143,29/03/2020,45.357142857,17MAR2020,-3.365079365
Moldova Republic Of,,,,,17/03/2020,17/03/2020,,,,,16/03/2020,16/03/2020,01/04/2020,,16/03/2020,,,,25/03/2020,,07/05/2020,,,,,,16/05/2020,06/04/2020,,,,,,,17/03/2020,39.857142857,21/03/2020,60.142857143,07MAR2020,-5.071428571
Mongolia,27/03/2020,16/03/2020,,29/04/2020,,11/03/2020,,,19/02/2020,,27/01/2020,29/04/2020,05/03/2020,18/05/2020,04/05/2020,,23/02/2020,,20/02/2020,25/05/2020,12/04/2020,,,,,,11/03/2020,,,,,,,,24/02/2020,57.625,25/02/2020,42.375,22FEB2020,-19.33333333
Morocco,04/02/2020,14/03/2020,26/03/2020,12/03/2020,25/01/2020,15/03/2020,,12/03/2020,01/03/2020,17/04/2020,13/03/2020,20/03/2020,25/01/2020,25/01/2020,,23/04/2020,21/03/2020,12/03/2020,,20/03/2020,16/03/2020,,,,,29/01/2020,,,,,,,,,18/03/2020,31.214285714,21/03/2020,68.785714286,12MAR2020,-7.555555556
Mozambique,,01/04/2020,,23/03/2020,24/03/2020,12/05/2020,,,23/03/2020,,,01/04/2020,07/05/2020,,,,01/04/2020,23/03/2020,,,08/04/2020,,,,,01/04/2020,23/03/2020,07/05/2020,,,,,,,01/04/2020,67.571428571,04/04/2020,32.428571429,25MAR2020,-1.952857143
Myanmar,04/04/2020,25/03/2020,,13/03/2020,,,25/04/2020,21/03/2020,13/03/2020,,,,02/04/2020,,,,,14/03/2020,,,,,,04/04/2020,,25/03/2020,29/03/2020,,25/03/2020,,,,,,02/04/2020,48.428571429,10/04/2020,51.571428571,20MAR2020,-2.779289494
Namibia,17/03/2020,24/03/2020,,,17/03/2020,17/03/2020,,,14/03/2020,05/05/2020,16/03/2020,17/03/2020,17/03/2020,,17/03/2020,,17/03/2020,02/04/2020,,28/03/2020,,,28/05/2020,17/03/2020,,17/03/2020,,17/03/2020,,,,,,,27/03/2020,30.714285714,31/03/2020,69.285714286,19MAR2020,-4.864718615
Nepal,,14/04/2020,,05/06/2020,23/03/2020,22/03/2020,13/03/2020,,10/03/2020,,,,09/03/2020,15/03/2020,,,23/03/2020,29/03/2020,,29/03/2020,,,22/05/2020,20/05/2020,24/03/2020,05/03/2020,07/03/2020,,,,,,,,24/03/2020,28.285714286,26/03/2020,71.714285714,20MAR2020,-12.66666667
Netherlands,,,,,,,,,12/03/2020,01/06/2020,16/03/2020,,,,15/03/2020,,,,,,,,01/06/2020,,,15/03/2020,,,,,,,,,16/03/2020,39.714285714,19/03/2020,60.285714286,01MAR2020,-3.5
New Zealand,01/04/2020,,,21/03/2020,,,14/03/2020,,19/03/2020,14/05/2020,,25/03/2020,18/03/2020,20/05/2020,,,21/03/2020,17/03/2020,,23/03/2020,,,15/04/2020,,20/04/2020,19/03/2020,,07/04/2020,,,,,,,24/03/2020,19.5,26/03/2020,80.5,13MAR2020,-6.923076923
Nicaragua,30/03/2020,,,,11/03/2020,,12/05/2020,,,,,,,,,,12/05/2020,16/04/2020,,,,,21/04/2020,,,25/03/2020,,,,,,,,,24/03/2020,69.818181818,25/03/2020,30.181818182,18MAR2020,-3.742115028
Niger,,20/03/2020,27/03/2020,,,20/03/2020,29/03/2020,,17/03/2020,,20/03/2020,27/03/2020,27/03/2020,,,28/03/2020,26/04/2020,18/03/2020,,,10/04/2020,,,,,,,,,,,,,,22/03/2020,72.357142857,26/03/2020,27.642857143,29FEB2020,-1.598401598
Nigeria,,,,04/04/2020,13/03/2020,20/03/2020,,,18/03/2020,27/04/2020,23/03/2020,,10/04/2020,,,14/04/2020,30/03/2020,,,29/03/2020,,,,,,18/03/2020,23/03/2020,,,,,,,,31/03/2020,47.928571429,31/03/2020,52.071428571,,
North Macedonia Republic Of,,13/03/2020,,,,,16/03/2020,,13/03/2020,,10/03/2020,18/03/2020,13/03/2020,,05/06/2020,22/03/2020,22/03/2020,,,,23/04/2020,,,,,,,,,,,,,,17/03/2020,41.285714286,23/03/2020,58.714285714,08MAR2020,-4.599206349
Norway,,15/05/2020,06/04/2020,21/03/2020,,,17/03/2020,30/03/2020,07/04/2020,06/05/2020,12/03/2020,,26/03/2020,16/04/2020,12/03/2020,,19/03/2020,12/03/2020,,,,,29/04/2020,,,14/03/2020,,28/04/2020,,15/03/2020,,,,,13/03/2020,48,15/03/2020,52,09MAR2020,-8.562271062
Oman,,18/03/2020,,23/03/2020,,12/03/2020,20/03/2020,,15/03/2020,,15/03/2020,,,06/04/2020,20/03/2020,,20/03/2020,,,,18/05/2020,,,,,29/04/2020,20/03/2020,06/04/2020,,,,01/04/2020,,,19/03/2020,40.714285714,22/03/2020,59.285714286,16MAR2020,-7.422619048
